응답자 ID,파일명,스타일 선호 여부
368,W_06753_60_mods_M.jpg,스타일 선호
368,W_06686_70_hippie_M.jpg,스타일 선호
368,W_15453_70_hippie_M.jpg,스타일 비선호
368,W_06843_60_mods_M.jpg,스타일 선호
368,W_06896_10_sportivecasual_M.jpg,스타일 선호
368,W_04604_00_metrosexual_M.jpg,스타일 선호
368,W_12459_50_ivy_M.jpg,스타일 비선호
368,W_06551_60_mods_M.jpg,스타일 비선호
368,W_04678_50_ivy_M.jpg,스타일 선호
368,W_16264_80_bold_M.jpg,스타일 비선호
368,W_06263_19_normcore_M.jpg,스타일 비선호
368,W_01703_00_metrosexual_M.jpg,스타일 선호
368,W_16157_70_hippie_M.jpg,스타일 비선호
368,W_02714_00_metrosexual_M.jpg,스타일 비선호
368,W_15340_50_ivy_M.jpg,스타일 비선호
368,W_15157_60_mods_M.jpg,스타일 비선호
368,W_17455_00_metrosexual_M.jpg,스타일 선호
368,W_04622_60_mods_M.jpg,스타일 선호
368,W_17320_70_hippie_M.jpg,스타일 선호
368,W_04444_90_hiphop_M.jpg,스타일 비선호
368,W_05422_00_metrosexual_M.jpg,스타일 비선호
368,W_02804_19_normcore_M.jpg,스타일 선호
368,W_16726_19_normcore_M.jpg,스타일 비선호
368,W_00799_10_sportivecasual_M.jpg,스타일 선호
368,W_02777_90_hiphop_M.jpg,스타일 비선호
368,W_16483_19_normcore_M.jpg,스타일 비선호
368,W_16606_90_hiphop_M.jpg,스타일 비선호
368,W_09835_50_ivy_M.jpg,스타일 선호
368,W_00886_90_hiphop_M.jpg,스타일 선호
368,W_00905_19_normcore_M.jpg,스타일 비선호
368,W_12817_50_ivy_M.jpg,스타일 선호
368,W_00528_10_sportivecasual_M.jpg,스타일 선호
368,W_16422_10_sportivecasual_M.jpg,스타일 비선호
368,W_17536_80_bold_M.jpg,스타일 선호
368,W_12843_19_normcore_M.jpg,스타일 선호
368,W_16403_10_sportivecasual_M.jpg,스타일 선호
368,W_11108_00_metrosexual_M.jpg,스타일 비선호
368,W_15572_80_bold_M.jpg,스타일 선호
368,W_15568_70_hippie_M.jpg,스타일 비선호
368,W_15519_90_hiphop_M.jpg,스타일 비선호
368,W_15791_70_hippie_M.jpg,스타일 비선호
368,W_17663_80_bold_M.jpg,스타일 비선호
368,W_04238_50_ivy_M.jpg,스타일 선호
368,W_11014_80_bold_M.jpg,스타일 비선호
837,W_00829_10_sportivecasual_M.jpg,스타일 선호
837,W_00028_50_ivy_M.jpg,스타일 선호
837,W_12695_50_ivy_M.jpg,스타일 비선호
837,W_12821_50_ivy_M.jpg,스타일 선호
837,W_24413_70_hippie_M.jpg,스타일 비선호
837,W_32443_70_hippie_M.jpg,스타일 선호
837,W_33271_10_sportivecasual_M.jpg,스타일 비선호
837,W_24020_60_mods_M.jpg,스타일 선호
837,W_24381_70_hippie_M.jpg,스타일 비선호
837,W_15661_70_hippie_M.jpg,스타일 비선호
837,W_12900_60_mods_M.jpg,스타일 선호
837,W_09157_60_mods_M.jpg,스타일 선호
837,W_32287_80_bold_M.jpg,스타일 비선호
837,W_32173_19_normcore_M.jpg,스타일 비선호
837,W_31397_19_normcore_M.jpg,스타일 선호
837,W_17010_10_sportivecasual_M.jpg,스타일 선호
837,W_02944_00_metrosexual_M.jpg,스타일 선호
837,W_12610_00_metrosexual_M.jpg,스타일 비선호
837,W_24549_00_metrosexual_M.jpg,스타일 비선호
837,W_29838_10_sportivecasual_M.jpg,스타일 비선호
837,W_01568_19_normcore_M.jpg,스타일 선호
837,W_15083_50_ivy_M.jpg,스타일 비선호
837,W_01818_60_mods_M.jpg,스타일 선호
837,W_27700_70_hippie_M.jpg,스타일 비선호
837,W_16659_00_metrosexual_M.jpg,스타일 비선호
837,W_27782_90_hiphop_M.jpg,스타일 비선호
837,W_01706_90_hiphop_M.jpg,스타일 선호
837,W_17524_00_metrosexual_M.jpg,스타일 비선호
837,W_28209_10_sportivecasual_M.jpg,스타일 선호
837,W_28211_19_normcore_M.jpg,스타일 선호
837,W_25777_00_metrosexual_M.jpg,스타일 비선호
837,W_17305_70_hippie_M.jpg,스타일 선호
837,W_01520_50_ivy_M.jpg,스타일 선호
837,W_02897_90_hiphop_M.jpg,스타일 선호
837,W_04601_50_ivy_M.jpg,스타일 선호
837,W_25073_90_hiphop_M.jpg,스타일 선호
837,W_07130_19_normcore_M.jpg,스타일 비선호
837,W_28722_10_sportivecasual_M.jpg,스타일 선호
837,W_24845_80_bold_M.jpg,스타일 비선호
837,W_29169_10_sportivecasual_M.jpg,스타일 선호
837,W_29178_90_hiphop_M.jpg,스타일 선호
837,W_02699_60_mods_M.jpg,스타일 선호
837,W_24764_80_bold_M.jpg,스타일 선호
837,W_11107_19_normcore_M.jpg,스타일 비선호
837,W_24605_80_bold_M.jpg,스타일 비선호
837,W_29832_80_bold_M.jpg,스타일 비선호
7658,W_11169_19_normcore_W.jpg,스타일 비선호
7658,W_14023_90_lingerie_W.jpg,스타일 비선호
7658,W_08708_10_sportivecasual_W.jpg,스타일 선호
7658,W_06118_10_athleisure_W.jpg,스타일 선호
7658,W_07975_80_powersuit_W.jpg,스타일 비선호
7658,W_01234_10_sportivecasual_W.jpg,스타일 선호
7658,W_05499_90_kitsch_W.jpg,스타일 비선호
7658,W_11170_19_normcore_W.jpg,스타일 선호
7658,W_19531_00_oriental_W.jpg,스타일 비선호
7658,W_13081_50_classic_W.jpg,스타일 비선호
7658,W_00682_70_punk_W.jpg,스타일 비선호
7658,W_10510_60_space_W.jpg,스타일 비선호
7658,W_02345_60_space_W.jpg,스타일 비선호
7658,W_04877_00_oriental_W.jpg,스타일 비선호
7658,W_07851_70_disco_W.jpg,스타일 비선호
7658,W_13455_80_powersuit_W.jpg,스타일 비선호
7658,W_06322_19_lounge_W.jpg,스타일 선호
7658,W_08382_19_normcore_W.jpg,스타일 비선호
7658,W_08383_10_athleisure_W.jpg,스타일 비선호
7658,W_15077_19_normcore_W.jpg,스타일 비선호
7658,W_13535_80_powersuit_W.jpg,스타일 비선호
7658,W_03201_50_feminine_W.jpg,스타일 비선호
7658,W_01050_80_bodyconscious_W.jpg,스타일 비선호
7658,W_19067_50_classic_W.jpg,스타일 비선호
7658,W_08410_00_cityglam_W.jpg,스타일 선호
7658,W_02456_10_sportivecasual_W.jpg,스타일 비선호
7658,W_13772_70_hippie_W.jpg,스타일 비선호
7658,W_14380_90_hiphop_W.jpg,스타일 비선호
7658,W_13941_60_minimal_W.jpg,스타일 비선호
7658,W_13271_60_minimal_W.jpg,스타일 비선호
7658,W_19543_00_oriental_W.jpg,스타일 비선호
7658,W_05312_80_bodyconscious_W.jpg,스타일 비선호
7658,W_18996_50_feminine_W.jpg,스타일 비선호
7658,W_01355_10_sportivecasual_W.jpg,스타일 선호
7658,W_14178_70_hippie_W.jpg,스타일 비선호
7658,W_00334_70_hippie_W.jpg,스타일 비선호
7658,W_13266_19_normcore_W.jpg,스타일 비선호
7658,W_18560_70_military_W.jpg,스타일 선호
7658,W_09651_60_space_W.jpg,스타일 선호
7658,W_08680_00_cityglam_W.jpg,스타일 비선호
7658,W_13688_90_hiphop_W.jpg,스타일 비선호
7658,W_18658_80_powersuit_W.jpg,스타일 비선호
7658,W_08112_90_hiphop_W.jpg,스타일 비선호
7658,W_04128_19_genderless_W.jpg,스타일 선호
7658,W_00344_90_grunge_W.jpg,스타일 비선호
7905,W_25255_70_hippie_M.jpg,스타일 비선호
7905,W_24661_60_mods_M.jpg,스타일 선호
7905,W_33184_00_metrosexual_M.jpg,스타일 비선호
7905,W_24765_60_mods_M.jpg,스타일 선호
7905,W_27709_00_metrosexual_M.jpg,스타일 비선호
7905,W_28443_10_sportivecasual_M.jpg,스타일 비선호
7905,W_26962_90_hiphop_M.jpg,스타일 비선호
7905,W_09256_90_hiphop_M.jpg,스타일 비선호
7905,W_27182_10_sportivecasual_M.jpg,스타일 비선호
7905,W_24557_19_normcore_M.jpg,스타일 비선호
7905,W_26438_19_normcore_M.jpg,스타일 비선호
7905,W_17470_19_normcore_M.jpg,스타일 비선호
7905,W_26053_10_sportivecasual_M.jpg,스타일 비선호
7905,W_06805_90_hiphop_M.jpg,스타일 비선호
7905,W_31489_80_bold_M.jpg,스타일 비선호
7905,W_24275_00_metrosexual_M.jpg,스타일 비선호
7905,W_16293_80_bold_M.jpg,스타일 선호
7905,W_17603_50_ivy_M.jpg,스타일 비선호
7905,W_17855_90_hiphop_M.jpg,스타일 비선호
7905,W_26157_19_normcore_M.jpg,스타일 비선호
7905,W_02845_60_mods_M.jpg,스타일 선호
7905,W_24142_60_mods_M.jpg,스타일 비선호
7905,W_10073_70_hippie_M.jpg,스타일 비선호
7905,W_29873_19_normcore_M.jpg,스타일 비선호
7905,W_27319_10_sportivecasual_M.jpg,스타일 비선호
7905,W_24530_70_hippie_M.jpg,스타일 비선호
7905,W_16710_00_metrosexual_M.jpg,스타일 비선호
7905,W_24111_70_hippie_M.jpg,스타일 비선호
7905,W_24690_80_bold_M.jpg,스타일 비선호
7905,W_30483_80_bold_M.jpg,스타일 비선호
7905,W_10076_50_ivy_M.jpg,스타일 비선호
7905,W_32578_90_hiphop_M.jpg,스타일 비선호
7905,W_01803_19_normcore_M.jpg,스타일 비선호
7905,W_06755_00_metrosexual_M.jpg,스타일 비선호
7905,W_25206_80_bold_M.jpg,스타일 비선호
7905,W_01729_90_hiphop_M.jpg,스타일 비선호
7905,W_06553_50_ivy_M.jpg,스타일 선호
7905,W_17481_10_sportivecasual_M.jpg,스타일 비선호
